fold,sample_size,initial_fleet_hash,mechanism_id,dispatch_strategy,pricing_scenario,served_order_profit,lost_demand_cost,net_platform_profit,platform_revenue,platform_cost,capability_cost,remote_assistance_cost,fallback_expected_cost,supply_scenario,av_penetration,odd_profile
2,1500,f2a256434cd716db0af17c40793601979b91c17c580de102bd8741d4facf3f40,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,28045.37941827864,1200.0,26845.37941827864,57264.92508575429,29219.54566747566,0.0,0.0,0.0,moderate,0.0,moderate_av
2,1500,df6110ae40a8c1a53223c1791a6cc2fa85138144b550ad8e937ff426ae1f43c1,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,32741.198018591007,1180.0,31561.198018591007,56937.4336616643,24196.23564307329,622.838501766324,82.32241773605347,0.0,moderate,0.25,moderate_av
2,1500,39a668aed989979f226a85bdd856fde079c960335047a7c1414c7a1e56a94a48,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,31045.593820250266,1790.0,29255.593820250266,50710.53133027871,19664.937510028445,2140.839178308845,1400.8234696388245,0.0,moderate,0.75,moderate_av
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,30771.59489411251,1200.0,29571.59489411251,57114.66266541084,26343.06777129833,212.61922270059583,18.8472204208374,0.0,moderate,0.5,moderate_av
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,30771.59489411251,1200.0,29571.59489411251,57114.66266541084,26343.06777129833,212.61922270059583,18.8472204208374,0.0,moderate,0.5,conservative_av
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,30771.59489411251,1200.0,29571.59489411251,57114.66266541084,26343.06777129833,212.61922270059583,18.8472204208374,0.0,moderate,0.5,mature_av
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,30771.59489411251,1200.0,29571.59489411251,57114.66266541084,26343.06777129833,212.61922270059583,18.8472204208374,0.0,moderate,0.5,intersection_sensitive_av
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,30771.59489411251,1200.0,29571.59489411251,57114.66266541084,26343.06777129833,212.61922270059583,18.8472204208374,0.0,moderate,0.5,uncertainty_sensitive_av
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,35146.78273461256,1180.0,33966.78273461256,56404.67259813307,21257.88986352052,1345.2333900779486,152.9892716407776,0.0,moderate,0.5,moderate_av
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,35146.78273461256,1180.0,33966.78273461256,56404.67259813307,21257.88986352052,1345.2333900779486,152.9892716407776,0.0,moderate,0.5,conservative_av
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,35146.78273461256,1180.0,33966.78273461256,56404.67259813307,21257.88986352052,1345.2333900779486,152.9892716407776,0.0,moderate,0.5,mature_av
