fold,sample_size,initial_fleet_hash,mechanism_id,dispatch_strategy,pricing_scenario,supply_scenario,av_penetration,odd_profile,cancellation_reason,orders
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_intersection_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,intersection_sensitive_av,,1301
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_intersection_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,intersection_sensitive_av,cancelled_no_available_vehicle,3
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_intersection_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,intersection_sensitive_av,cancelled_no_spatial_candidate,15
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_intersection_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,intersection_sensitive_av,cancelled_passenger_rejection,180
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_intersection_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,intersection_sensitive_av,cancelled_patience_timeout,1
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_mature_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,mature_av,,1301
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_mature_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,mature_av,cancelled_no_available_vehicle,3
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_mature_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,mature_av,cancelled_no_spatial_candidate,15
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_mature_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,mature_av,cancelled_passenger_rejection,180
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_mature_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,mature_av,cancelled_patience_timeout,1
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_moderate_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,moderate_av,,1301
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_moderate_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,moderate_av,cancelled_no_available_vehicle,3
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_moderate_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,moderate_av,cancelled_no_spatial_candidate,15
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_moderate_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,moderate_av,cancelled_passenger_rejection,180
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_moderate_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,moderate_av,cancelled_patience_timeout,1
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_uncertainty_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,uncertainty_sensitive_av,,1301
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_uncertainty_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,uncertainty_sensitive_av,cancelled_no_available_vehicle,3
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_uncertainty_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,uncertainty_sensitive_av,cancelled_no_spatial_candidate,15
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_uncertainty_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,uncertainty_sensitive_av,cancelled_passenger_rejection,180
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_uncertainty_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,uncertainty_sensitive_av,cancelled_patience_timeout,1
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,moderate_av,,1301
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,moderate_av,cancelled_no_available_vehicle,3
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,moderate_av,cancelled_no_spatial_candidate,15
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,moderate_av,cancelled_passenger_rejection,180
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,moderate_av,cancelled_patience_timeout,1
