supply_scenario,av_penetration,odd_profile,pricing_scenario,dispatch_strategy,relocation_mode,experiment_family,orders,served_orders,match_rate,cancel_rate,passenger_acceptance_rate,mean_waiting_time_sec,mean_pickup_time_sec,mean_passenger_fare,mean_passenger_generalized_cost,platform_revenue,platform_cost,platform_profit,profit_margin,HV_payout,HV_net_income,HV_stress_burden,HV_high_stress_assignment_share,AV_utilization,AV_assignment_share,AV_stress_exposure,AV_ODD_violation_rate,mean_candidate_count,zero_candidate_order_share,cross_zone_candidate_share,fold,experiment_id
moderate,0.5,moderate_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,strategy,1500,1304,0.8693333333333333,0.13066666666666665,0.8693333333333333,76.52760736196319,87.70465790699431,44.93378586658727,45.963185773193416,58593.656770029804,20120.322754170724,38473.33401585908,0.656612611956622,8938.842195506822,6090.222114862983,0.4901834166260261,0.6991643454038997,0.7333333333333333,0.7246932515337423,0.36707924933975966,0.0,6.163693755739211,0.2870004154095063,0.5173816862734224,2,7
moderate,0.5,moderate_av,P3_shared_comp,Three-Stakeholder Balanced,pending_demand,strategy,1500,1305,0.87,0.13,0.87,76.22605363984674,87.73147370917219,44.88794542947483,45.89238333277705,58578.76878546466,19599.573777690268,38979.19500777439,0.6654150610527414,8118.062774619783,5522.145554053992,0.4986923345438907,0.7638036809815951,0.780952380952381,0.750191570881226,0.368241339229405,0.0,6.125140269032315,0.28389960208142023,0.5092922763770477,2,8
abundant,0.5,moderate_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,supply,1500,1299,0.866,0.134,0.866,76.30100076982293,88.96845751764411,44.82326781450258,45.83281402413183,58225.42489103885,19089.49237931241,39135.93251172644,0.6721450738223747,7423.633190064196,5043.769248065232,0.5065305593819124,0.8127090301003345,0.374,0.7698229407236336,0.36871310086548326,0.0,6.004085907779089,0.2907945116751935,0.5132598194615899,2,9
tight,0.5,moderate_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,supply,1500,1300,0.8666666666666667,0.13333333333333333,0.8666666666666667,76.59307692307692,97.36571425689179,44.85997460403853,46.09651965840713,58317.96698525009,20342.155244200574,37975.81174104952,0.6511854528580265,9342.456785289909,6370.484857076222,0.48374416049675534,0.6648936170212766,0.9454545454545454,0.7107692307692308,0.36645169903135827,0.0,6.144982837028291,0.2929287463378372,0.5441337461701814,2,10
moderate,0.0,moderate_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,av_penetration,1500,1316,0.8773333333333333,0.12266666666666666,0.8773333333333333,75.38753799392097,76.22681863892562,44.792605286844626,46.31714165962314,58947.068557487524,34281.16962433299,24665.898933154524,0.41844148550151156,30847.904774431798,21398.815323602936,0.40221596662834547,0.23860182370820668,0.0,0.0,,0.0,7.0417111455463735,0.264943468778696,0.550696791681689,2,11
moderate,0.25,moderate_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,av_penetration,1500,1318,0.8786666666666667,0.12133333333333333,0.8786666666666667,75.67374810318664,89.89350737116071,44.96164830006777,46.147227096959874,59259.45245948932,22597.566827066526,36661.88563242279,0.618667303034658,12586.799675862098,8634.154203343218,0.45926905202752843,0.5283757338551859,0.9142857142857143,0.6122913505311077,0.36615299847083166,0.0,6.607234752831344,0.26725145120031485,0.5126770398935694,2,12
moderate,0.75,moderate_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,av_penetration,1500,1280,0.8533333333333334,0.14666666666666667,0.8533333333333334,78.5546875,88.70497925401287,44.808631693112815,45.79132502819307,57355.0485671844,18356.165431846814,38998.883135337586,0.6799555420069984,6621.833637771575,4492.145634943034,0.5115112954199538,0.846441947565543,0.5777777777777777,0.79140625,0.36892727821545607,0.0,5.634964430561022,0.322778515676243,0.5187149268606301,2,13
moderate,0.5,conservative_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,odd_profile,1500,1306,0.8706666666666667,0.12933333333333333,0.8706666666666667,76.55436447166922,88.4661371716467,44.956897207756164,46.2752245453698,58713.70775332955,25791.35421076478,32922.35354256477,0.5607268694540553,17393.526835335604,11910.876840962988,0.4664779894680879,0.4309623430962343,0.5666666666666667,0.45099540581929554,0.32265537424433616,0.0,5.331759081617036,0.2835243670470943,0.5018473092403248,2,14
moderate,0.5,mature_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,odd_profile,1500,1310,0.8733333333333333,0.12666666666666668,0.8733333333333333,75.78625954198473,84.61230521984969,45.01866891566347,45.84221272998412,58974.456279519145,17109.932030938944,41864.524248580194,0.7098755442552347,4308.005758269343,2938.125075333569,0.4911147420431755,0.5872093023255814,0.7476190476190476,0.8687022900763359,0.38704762723478014,0.0,6.70515073625869,0.2758660741615287,0.5116291964314054,2,15
moderate,0.5,intersection_sensitive_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,odd_profile,1500,1309,0.8726666666666667,0.12733333333333333,0.8726666666666667,76.69824293353705,89.15157863908243,44.90007475452161,46.150638794835736,58774.19785366879,24244.87554719033,34529.32230647847,0.5874911707420791,15309.462781168197,10493.117124487017,0.4675922885391058,0.5016339869281046,0.6095238095238096,0.5324675324675324,0.3437793035717571,0.0,5.587887806637807,0.2848695286195286,0.5166969900336373,2,16
