scope,date,weighting,support_dimension,target,support_group,n,mae,median_absolute_error,p90_absolute_error
daily,20161026,cell_equal,spatiotemporal,stop,high,57049,0.005947578787060724,0.0003398359986022115,0.004641262907534847
daily,20161026,cell_equal,target_specific,stop,unseen,4837,0.054298740574498086,0.0037554348818957806,0.11667347997427027
daily,20161026,cell_equal,target_specific,stop,low,8594,0.016375953570030626,0.0008726869418751448,0.01763729229569435
daily,20161026,cell_equal,target_specific,stop,medium,40842,0.006571394312218564,0.00038037353806430474,0.005255828256485984
daily,20161026,cell_equal,target_specific,stop,high,55766,0.0035423909394068525,0.00026724925737653393,0.002381924130895641
daily,20161026,cell_equal,spatial,speed_cv,unseen,16,0.07461242936551571,0.0497734509408474,0.1229870393872261
daily,20161026,cell_equal,spatial,speed_cv,low,122,0.10419611483699615,0.06498676165938377,0.25307607369259133
daily,20161026,cell_equal,spatial,speed_cv,medium,19682,0.06307059388852414,0.0542760044336319,0.12097886689007292
daily,20161026,cell_equal,spatial,speed_cv,high,56476,0.06436888908158908,0.059825085413952664,0.10875231704267208
daily,20161026,cell_equal,spatiotemporal,speed_cv,unseen,1653,0.07177664521129065,0.05614621937274933,0.1413691569119692
daily,20161026,cell_equal,spatiotemporal,speed_cv,low,3824,0.0664225213346183,0.056736767292022705,0.128493732213974
daily,20161026,cell_equal,spatiotemporal,speed_cv,medium,31288,0.06347885984321774,0.05705820373259485,0.11665489254519343
daily,20161026,cell_equal,spatiotemporal,speed_cv,high,39531,0.06404557058190478,0.059839037557442985,0.10529256239533424
daily,20161026,cell_equal,target_specific,speed_cv,unseen,3259,0.0724373821426955,0.05889488756656647,0.13895056247711185
daily,20161026,cell_equal,target_specific,speed_cv,low,6164,0.06710237928490818,0.05879775807261467,0.12589068040251733
daily,20161026,cell_equal,target_specific,speed_cv,medium,28649,0.0642348565714579,0.057823315262794495,0.11755963275500107
daily,20161026,cell_equal,target_specific,speed_cv,high,38224,0.0628035169876204,0.059267500415444374,0.10339882448315624
daily,20161026,cell_equal,spatial,acceleration_rms,unseen,11,0.15913757614114069,0.16584482789039612,0.2505142539739609
daily,20161026,cell_equal,spatial,acceleration_rms,low,77,0.1372284230764036,0.13287514448165894,0.275063468515873
daily,20161026,cell_equal,spatial,acceleration_rms,medium,14313,0.11414035127482033,0.10060690343379974,0.22635616660118105
daily,20161026,cell_equal,spatial,acceleration_rms,high,40608,0.12150315918532546,0.1137156238158544,0.21275463402271272
daily,20161026,cell_equal,spatiotemporal,acceleration_rms,unseen,1148,0.11764126579655437,0.10257618129253387,0.23894983381032936
daily,20161026,cell_equal,spatiotemporal,acceleration_rms,low,2680,0.11892362606664592,0.10315218567848206,0.24122377634048459
daily,20161026,cell_equal,spatiotemporal,acceleration_rms,medium,22264,0.11954452297397947,0.10762613763411841,0.2311385974287987
daily,20161026,cell_equal,spatiotemporal,acceleration_rms,high,28917,0.11981538497848673,0.11346337364779578,0.2025778502225876
daily,20161026,cell_equal,target_specific,acceleration_rms,unseen,2604,0.11866555577969669,0.10302792489528656,0.23902392089366917
daily,20161026,cell_equal,target_specific,acceleration_rms,low,4859,0.11881647422090477,0.1047564446926117,0.23871023952960968
daily,20161026,cell_equal,target_specific,acceleration_rms,medium,19790,0.12030837012012449,0.10836542397737503,0.23213285356760027
daily,20161026,cell_equal,target_specific,acceleration_rms,high,27756,0.11935333757535901,0.11326633606638227,0.2000015676021576
daily,20161027,traversal,spatial,crawl,unseen,73,0.35728406638213217,0.2614858150482178,0.852596342563629
daily,20161027,traversal,spatial,crawl,low,183,0.3622500420207046,0.30765604972839355,0.7851478576660157
daily,20161027,traversal,spatial,crawl,medium,34665,0.21268659551112032,0.12022107094526291,0.5709697008132946
daily,20161027,traversal,spatial,crawl,high,224411,0.16432924512594563,0.04339292645454407,0.4998127818107605
daily,20161027,traversal,spatial,stop,unseen,73,0.10120727204476891,0.008950162678956985,0.30453995466232286
daily,20161027,traversal,spatial,stop,low,183,0.08903043851850534,0.021296441555023193,0.23284233808517488
daily,20161027,traversal,spatial,stop,medium,34665,0.011391248742990693,0.0004990335437469184,0.0077342838980257594
daily,20161027,traversal,spatial,stop,high,224411,0.004116293738890742,0.0002140365686500445,0.001874083885923028
daily,20161027,traversal,spatial,speed_cv,unseen,39,0.09324596516596965,0.07697740197181702,0.14859709143638614
daily,20161027,traversal,spatial,speed_cv,low,93,0.09117620326178048,0.0795479565858841,0.1671762615442276
daily,20161027,traversal,spatial,speed_cv,medium,24950,0.06266656992012609,0.052627477794885635,0.12514112740755082
daily,20161027,traversal,spatial,speed_cv,high,151278,0.06293222951979206,0.05498207360506058,0.12290035486221319
