effect_axis,fixed_profile,fixed_q_A,fixed_p_A,outcome,low_level,high_level,comparison,low_value,high_value,absolute_change,relative_change,response_class
q_A,M,,0.4,first_window_match_rate,0.5,0.75,0.5_to_0.75,0.4456333333333333,0.2497,-0.19593333333333332,-0.4396738723913531,monotone_decreasing
q_A,M,,0.4,first_window_match_rate,0.25,0.75,0.25_to_0.75,0.6017,0.2497,-0.352,-0.5850091407678244,monotone_decreasing
q_A,M,,0.7,service_rate,0.25,0.5,0.25_to_0.5,0.7297,0.6044333333333334,-0.12526666666666664,-0.17166872230597044,monotone_decreasing
q_A,M,,0.7,service_rate,0.5,0.75,0.5_to_0.75,0.6044333333333334,0.4013,-0.2031333333333334,-0.3360723542712183,monotone_decreasing
q_A,M,,0.7,service_rate,0.25,0.75,0.25_to_0.75,0.7297,0.4013,-0.3284,-0.45004796491708926,monotone_decreasing
q_A,M,,0.7,request_to_pickup_p95,0.25,0.5,0.25_to_0.5,289.748246,291.8394572,2.091211200000032,0.007217338599523505,monotone_increasing
q_A,M,,0.7,request_to_pickup_p95,0.5,0.75,0.5_to_0.75,291.8394572,292.4717888,0.6323315999999863,0.0021667104443887594,monotone_increasing
q_A,M,,0.7,request_to_pickup_p95,0.25,0.75,0.25_to_0.75,289.748246,292.4717888,2.7235428000000184,0.009399686926836542,monotone_increasing
q_A,M,,0.7,AV_assignment_share,0.25,0.5,0.25_to_0.5,0.0542231967475218,0.1217117961727237,0.06748859942520188,1.2446444229293132,monotone_increasing
q_A,M,,0.7,AV_assignment_share,0.5,0.75,0.5_to_0.75,0.1217117961727237,0.2603206246365977,0.138608828463874,1.1388282222634476,monotone_increasing
q_A,M,,0.7,AV_assignment_share,0.25,0.75,0.25_to_0.75,0.0542231967475218,0.2603206246365977,0.20609742788907592,3.8009088407074656,monotone_increasing
q_A,M,,0.7,first_window_match_rate,0.25,0.5,0.25_to_0.5,0.6131,0.4654666666666666,-0.1476333333333334,-0.2407981297232644,monotone_decreasing
q_A,M,,0.7,first_window_match_rate,0.5,0.75,0.5_to_0.75,0.4654666666666666,0.2841,-0.18136666666666656,-0.38964480091664266,monotone_decreasing
q_A,M,,0.7,first_window_match_rate,0.25,0.75,0.25_to_0.75,0.6131,0.2841,-0.32899999999999996,-0.5366171913227858,monotone_decreasing
q_A,M,,1.0,service_rate,0.25,0.5,0.25_to_0.5,0.7305333333333334,0.6097666666666667,-0.12076666666666669,-0.1653130133235992,monotone_decreasing
q_A,M,,1.0,service_rate,0.5,0.75,0.5_to_0.75,0.6097666666666667,0.4198,-0.18996666666666667,-0.31153993330782265,monotone_decreasing
q_A,M,,1.0,service_rate,0.25,0.75,0.25_to_0.75,0.7305333333333334,0.4198,-0.31073333333333336,-0.4253513414856726,monotone_decreasing
q_A,M,,1.0,request_to_pickup_p95,0.25,0.5,0.25_to_0.5,289.432843,291.8858432,2.4530002000000195,0.008475196437883243,monotone_increasing
q_A,M,,1.0,request_to_pickup_p95,0.5,0.75,0.5_to_0.75,291.8858432,292.59013105,0.7042878500000143,0.002412888005388588,monotone_increasing
q_A,M,,1.0,request_to_pickup_p95,0.25,0.75,0.25_to_0.75,289.432843,292.59013105,3.1572880500000338,0.01090853414310011,monotone_increasing
q_A,M,,1.0,AV_assignment_share,0.25,0.5,0.25_to_0.5,0.0625570359554663,0.1412015525064232,0.07864451655095689,1.2571650070975724,monotone_increasing
q_A,M,,1.0,AV_assignment_share,0.5,0.75,0.5_to_0.75,0.1412015525064232,0.297681435604256,0.15647988309783278,1.10820228474977,monotone_increasing
q_A,M,,1.0,AV_assignment_share,0.25,0.75,0.25_to_0.75,0.0625570359554663,0.297681435604256,0.23512439964878967,3.758560425020333,monotone_increasing
q_A,M,,1.0,first_window_match_rate,0.25,0.5,0.25_to_0.5,0.6112333333333333,0.4721333333333333,-0.1391,-0.2275726672847249,monotone_decreasing
q_A,M,,1.0,first_window_match_rate,0.5,0.75,0.5_to_0.75,0.4721333333333333,0.3013,-0.17083333333333328,-0.36183281558881664,monotone_decreasing
q_A,M,,1.0,first_window_match_rate,0.25,0.75,0.25_to_0.75,0.6112333333333333,0.3013,-0.3099333333333333,-0.5070622239188526,monotone_decreasing
q_A,A,,0.4,service_rate,0.25,0.5,0.25_to_0.5,0.7222666666666666,0.5918,-0.13046666666666662,-0.18063503784382495,monotone_decreasing
q_A,A,,0.4,service_rate,0.5,0.75,0.5_to_0.75,0.5918,0.3798333333333333,-0.2119666666666667,-0.3581728061281965,monotone_decreasing
q_A,A,,0.4,service_rate,0.25,0.75,0.25_to_0.75,0.7222666666666666,0.3798333333333333,-0.3424333333333333,-0.4741092855824257,monotone_decreasing
q_A,A,,0.4,request_to_pickup_p95,0.25,0.5,0.25_to_0.5,289.34749635,291.7275215,2.3800251500000513,0.00822549073354044,monotone_increasing
q_A,A,,0.4,request_to_pickup_p95,0.5,0.75,0.5_to_0.75,291.7275215,292.7996601,1.0721385999999598,0.003675136971949901,monotone_increasing
q_A,A,,0.4,request_to_pickup_p95,0.25,0.75,0.25_to_0.75,289.34749635,292.7996601,3.452163750000011,0.011930857510597607,monotone_increasing
q_A,A,,0.4,AV_assignment_share,0.25,0.5,0.25_to_0.5,0.0438434557873361,0.0954714430550861,0.05162798726775,1.177552871702746,monotone_increasing
q_A,A,,0.4,AV_assignment_share,0.5,0.75,0.5_to_0.75,0.0954714430550861,0.1942079859587538,0.09873654290366769,1.0341997538122227,monotone_increasing
q_A,A,,0.4,AV_assignment_share,0.25,0.75,0.25_to_0.75,0.0438434557873361,0.1942079859587538,0.1503645301714177,3.429577515530825,monotone_increasing
q_A,A,,0.4,first_window_match_rate,0.25,0.5,0.25_to_0.5,0.6058333333333333,0.4474333333333333,-0.15840000000000004,-0.26145804676753787,monotone_decreasing
q_A,A,,0.4,first_window_match_rate,0.5,0.75,0.5_to_0.75,0.4474333333333333,0.2544666666666667,-0.19296666666666662,-0.43127467779184975,monotone_decreasing
q_A,A,,0.4,first_window_match_rate,0.25,0.75,0.25_to_0.75,0.6058333333333333,0.2544666666666667,-0.35136666666666666,-0.5799724896836314,monotone_decreasing
q_A,A,,0.7,service_rate,0.25,0.5,0.25_to_0.5,0.7301,0.6089,-0.12119999999999997,-0.16600465689631555,monotone_decreasing
q_A,A,,0.7,service_rate,0.5,0.75,0.5_to_0.75,0.6089,0.4114333333333333,-0.19746666666666668,-0.3243006514479663,monotone_decreasing
q_A,A,,0.7,service_rate,0.25,0.75,0.25_to_0.75,0.7301,0.4114333333333333,-0.31866666666666665,-0.4364698899694106,monotone_decreasing
q_A,A,,0.7,request_to_pickup_p95,0.25,0.5,0.25_to_0.5,289.5616422,291.6385813,2.076939100000004,0.007172701067102887,monotone_increasing
q_A,A,,0.7,request_to_pickup_p95,0.5,0.75,0.5_to_0.75,291.6385813,292.6282656,0.9896843000000217,0.0033935300864118617,monotone_increasing
q_A,A,,0.7,request_to_pickup_p95,0.25,0.75,0.25_to_0.75,289.5616422,292.6282656,3.066623400000026,0.0105905719303868,monotone_increasing
q_A,A,,0.7,AV_assignment_share,0.25,0.5,0.25_to_0.5,0.056111035018034,0.1283188262987901,0.0722077912807561,1.286873272923029,monotone_increasing
q_A,A,,0.7,AV_assignment_share,0.5,0.75,0.5_to_0.75,0.1283188262987901,0.2645224013610953,0.13620357506230518,1.0614465467846117,monotone_increasing
q_A,A,,0.7,AV_assignment_share,0.25,0.75,0.25_to_0.75,0.056111035018034,0.2645224013610953,0.2084113663430613,3.714267011401201,monotone_increasing
q_A,A,,0.7,first_window_match_rate,0.25,0.5,0.25_to_0.5,0.6158,0.4715666666666667,-0.14423333333333332,-0.2342210674461405,monotone_decreasing
q_A,A,,0.7,first_window_match_rate,0.5,0.75,0.5_to_0.75,0.4715666666666667,0.2915666666666666,-0.1800000000000001,-0.3817063688414507,monotone_decreasing
q_A,A,,0.7,first_window_match_rate,0.25,0.75,0.25_to_0.75,0.6158,0.2915666666666666,-0.32423333333333343,-0.5265237631265564,monotone_decreasing
q_A,A,,1.0,service_rate,0.25,0.5,0.25_to_0.5,0.7309333333333333,0.614,-0.11693333333333333,-0.15997811017876687,monotone_decreasing
q_A,A,,1.0,service_rate,0.5,0.75,0.5_to_0.75,0.614,0.4234666666666666,-0.1905333333333334,-0.31031487513572215,monotone_decreasing
q_A,A,,1.0,service_rate,0.25,0.75,0.25_to_0.75,0.7309333333333333,0.4234666666666666,-0.3074666666666667,-0.4206493980299162,monotone_decreasing
q_A,A,,1.0,request_to_pickup_p95,0.25,0.5,0.25_to_0.5,289.36685655,291.58553215,2.218675599999983,0.007667345273927789,monotone_increasing
q_A,A,,1.0,request_to_pickup_p95,0.5,0.75,0.5_to_0.75,291.58553215,292.75823775,1.172705599999972,0.004021823687043219,monotone_increasing
q_A,A,,1.0,request_to_pickup_p95,0.25,0.75,0.25_to_0.75,289.36685655,292.75823775,3.3913811999999552,0.011720005671810429,monotone_increasing
q_A,A,,1.0,AV_assignment_share,0.25,0.5,0.25_to_0.5,0.0680864647938708,0.1491313789359392,0.0810449141420684,1.1903234275333403,monotone_increasing
q_A,A,,1.0,AV_assignment_share,0.5,0.75,0.5_to_0.75,0.1491313789359392,0.3081706549118388,0.15903927597589962,1.0664373729436007,monotone_increasing
