q_A,timestamp,rt_variant,patience_s,waiting_orders,retained_180s_cohort,additional_waiting_orders,critical_orders,physical_state_sha256,production_subsecond_expired_orders,av_arcs_lost_to_integer_deadline,G0_SPATIAL_E,G0_SPATIAL_U,G0_SPATIAL_M,G1_PASSENGER_E,G1_PASSENGER_U,G1_PASSENGER_M,G2_STRUCTURAL_E,G2_STRUCTURAL_U,G2_STRUCTURAL_M,G3_EVIDENCE_E,G3_EVIDENCE_U,G3_EVIDENCE_M,TOPK_COMPRESSION_E,TOPK_COMPRESSION_U,TOPK_COMPRESSION_M,ROUTE_RETURNED_E,ROUTE_RETURNED_U,ROUTE_RETURNED_M,G4_PATIENCE_E,G4_PATIENCE_U,G4_PATIENCE_M,G5_SOLVER_E,G5_SOLVER_U,G5_SOLVER_M,mixed_E,mixed_U,mixed_M,production_av_E,production_av_U,production_av_M,retained_mixed_E,retained_mixed_U,retained_mixed_M,retained_av_E,retained_av_U,retained_av_M,additional_mixed_E,additional_mixed_U,additional_mixed_M
0.75,2016-10-31T12:00:00+08:00,RT-Base,180,79,79,0,14,f65424ea3f1f001c25136c100128685db3e15eda5dfbc769b62a722e3e8812da,0,0,13781,79,79,9863,59,59,4929,27,27,2731,17,17,308,17,17,308,17,17,6,2,2,6,2,2,8,4,4,6,2,2,8,4,4,6,2,2,0,0,0
0.75,2016-10-31T12:00:00+08:00,RT-Base,600,273,79,194,18,f65424ea3f1f001c25136c100128685db3e15eda5dfbc769b62a722e3e8812da,0,1,76732,273,273,53064,192,192,30299,104,104,15513,57,57,1003,57,57,1003,57,57,295,37,33,295,37,33,464,115,55,294,37,33,332,65,37,209,16,16,132,50,33
0.75,2016-10-31T12:00:00+08:00,RT-High,180,92,92,0,20,f65424ea3f1f001c25136c100128685db3e15eda5dfbc769b62a722e3e8812da,1,0,15249,92,92,9951,61,61,4892,34,34,3150,21,21,371,21,21,371,21,21,18,3,3,18,3,3,25,10,7,18,3,3,25,10,7,18,3,3,0,0,0
0.75,2016-10-31T12:00:00+08:00,RT-High,600,305,92,213,14,f65424ea3f1f001c25136c100128685db3e15eda5dfbc769b62a722e3e8812da,0,1,83186,305,305,57639,210,210,30558,115,115,19583,73,73,1308,73,73,1308,73,73,474,49,49,474,49,49,700,144,73,473,49,49,426,75,44,270,21,21,274,69,51
0.75,2016-10-31T17:30:00+08:00,CANONICAL_ZERO_LEAD,180,64,64,0,11,98e0c8ceacb303023fefd3d84d6c7751144451718867dcaaf0c48a446ab1b9c0,0,0,9474,64,64,5545,39,39,1939,12,12,1473,8,8,116,8,8,116,8,8,0,0,0,0,0,0,5,5,4,0,0,0,5,5,4,0,0,0,0,0,0
0.75,2016-10-31T17:30:00+08:00,CANONICAL_ZERO_LEAD,600,216,64,152,10,98e0c8ceacb303023fefd3d84d6c7751144451718867dcaaf0c48a446ab1b9c0,0,0,59416,216,216,40223,144,144,17112,58,58,6218,23,23,346,23,23,346,23,23,28,4,4,28,4,4,128,64,28,28,4,4,98,38,24,28,4,4,30,26,14
0.75,2016-10-31T17:30:00+08:00,RT-Low,180,90,90,0,12,98e0c8ceacb303023fefd3d84d6c7751144451718867dcaaf0c48a446ab1b9c0,0,0,16925,90,90,11984,64,64,5854,32,32,3940,21,21,321,21,21,321,21,21,13,2,2,13,2,2,17,6,6,13,2,2,17,6,6,13,2,2,0,0,0
0.75,2016-10-31T17:30:00+08:00,RT-Low,600,242,90,152,9,98e0c8ceacb303023fefd3d84d6c7751144451718867dcaaf0c48a446ab1b9c0,0,0,66119,242,242,44620,166,166,18396,72,72,10683,43,43,651,43,43,651,43,43,142,20,20,142,20,20,281,85,47,142,20,20,220,64,40,110,16,16,61,21,19
0.75,2016-10-31T17:30:00+08:00,RT-Base,180,81,81,0,16,98e0c8ceacb303023fefd3d84d6c7751144451718867dcaaf0c48a446ab1b9c0,1,0,14186,81,81,9867,56,56,6250,33,33,3774,22,22,322,22,22,322,22,22,2,2,2,2,2,2,3,3,3,2,2,2,3,3,3,2,2,2,0,0,0
0.75,2016-10-31T17:30:00+08:00,RT-Base,600,262,81,181,7,98e0c8ceacb303023fefd3d84d6c7751144451718867dcaaf0c48a446ab1b9c0,1,0,73029,262,262,50307,181,181,25476,93,93,16421,62,62,928,62,62,928,62,62,167,33,33,167,33,33,300,90,64,167,33,33,183,50,39,95,19,19,117,40,32
0.75,2016-10-31T17:30:00+08:00,RT-High,180,111,111,0,17,98e0c8ceacb303023fefd3d84d6c7751144451718867dcaaf0c48a446ab1b9c0,0,0,16977,111,111,11714,77,77,5485,37,37,4448,30,30,448,30,30,448,30,30,11,3,3,11,3,3,14,6,6,11,3,3,14,6,6,11,3,3,0,0,0
0.75,2016-10-31T17:30:00+08:00,RT-High,600,309,111,198,18,98e0c8ceacb303023fefd3d84d6c7751144451718867dcaaf0c48a446ab1b9c0,0,1,82184,309,309,57969,217,217,32227,119,119,19518,78,78,1191,78,78,1191,78,78,221,32,31,221,32,31,416,116,61,220,31,30,344,77,51,188,22,22,72,39,26
