epoch_id,condition,layer,category,waiting_order_count,E_AV,U_AV,M_AV,O_HA,E_HV
0830,D1,PHYSICAL_DIRECTION_HARD,FALLBACK_EVIDENCE,10,968,8,8,8,549
0830,D1,CAPABILITY_HARD,ORIGINAL_REVERSE,37,3442,23,23,23,1865
0830,D1,CAPABILITY_HARD,M_CAPABILITY_HARD,1,0,0,0,0,20
0830,D1,CAPABILITY_HARD,FALLBACK_EVIDENCE,10,968,8,8,8,549
0830,D1,STRUCTURAL_ROUTE,ORIGINAL_REVERSE,37,1652,10,10,10,1865
0830,D1,STRUCTURAL_ROUTE,M_CAPABILITY_HARD,1,0,0,0,0,20
0830,D1,STRUCTURAL_ROUTE,FALLBACK_EVIDENCE,10,752,5,5,5,549
0830,D1,PRE_TOPK_EVIDENCE,ORIGINAL_REVERSE,37,1652,10,10,10,1865
0830,D1,PRE_TOPK_EVIDENCE,M_CAPABILITY_HARD,1,0,0,0,0,20
0830,D1,PRE_TOPK_EVIDENCE,FALLBACK_EVIDENCE,10,752,5,5,5,549
0830,D1,TOPK,ORIGINAL_REVERSE,37,134,10,10,10,526
0830,D1,TOPK,M_CAPABILITY_HARD,1,0,0,0,0,20
0830,D1,TOPK,FALLBACK_EVIDENCE,10,71,5,5,5,108
0830,D1,VALID_ETA,ORIGINAL_REVERSE,37,134,10,10,10,526
0830,D1,VALID_ETA,M_CAPABILITY_HARD,1,0,0,0,0,20
0830,D1,VALID_ETA,FALLBACK_EVIDENCE,10,71,5,5,5,108
0830,D1,PATIENCE,ORIGINAL_REVERSE,37,7,2,2,1,2
0830,D1,PATIENCE,M_CAPABILITY_HARD,1,0,0,0,0,0
0830,D1,PATIENCE,FALLBACK_EVIDENCE,10,1,1,1,0,1
0830,D1,SESSION,ORIGINAL_REVERSE,37,7,2,2,1,1
0830,D1,SESSION,M_CAPABILITY_HARD,1,0,0,0,0,0
0830,D1,SESSION,FALLBACK_EVIDENCE,10,1,1,1,0,0
0830,D2,SPATIAL,ORIGINAL_REVERSE,37,4772,37,37,37,1865
0830,D2,SPATIAL,M_CAPABILITY_HARD,1,50,1,1,1,20
0830,D2,SPATIAL,FALLBACK_EVIDENCE,10,1436,10,10,10,549
0830,D2,PASSENGER,ORIGINAL_REVERSE,37,3442,23,23,23,1865
0830,D2,PASSENGER,M_CAPABILITY_HARD,1,50,1,1,1,20
0830,D2,PASSENGER,FALLBACK_EVIDENCE,10,968,8,8,8,549
0830,D2,PHYSICAL_DIRECTION_HARD,ORIGINAL_REVERSE,37,2864,20,20,20,1865
0830,D2,PHYSICAL_DIRECTION_HARD,M_CAPABILITY_HARD,1,50,1,1,1,20
0830,D2,PHYSICAL_DIRECTION_HARD,FALLBACK_EVIDENCE,10,968,8,8,8,549
0830,D2,CAPABILITY_HARD,ORIGINAL_REVERSE,37,2864,20,20,20,1865
0830,D2,CAPABILITY_HARD,M_CAPABILITY_HARD,1,50,1,1,1,20
0830,D2,CAPABILITY_HARD,FALLBACK_EVIDENCE,10,968,8,8,8,549
0830,D2,STRUCTURAL_ROUTE,ORIGINAL_REVERSE,37,1413,10,10,10,1865
0830,D2,STRUCTURAL_ROUTE,M_CAPABILITY_HARD,1,0,0,0,0,20
0830,D2,STRUCTURAL_ROUTE,FALLBACK_EVIDENCE,10,968,8,8,8,549
0830,D2,PRE_TOPK_EVIDENCE,ORIGINAL_REVERSE,37,0,0,0,0,1865
