time_bin,target,raw_count,raw_share,processed_count,processed_share,accepted_count,accepted_share,target_valid_traversals,target_valid_share,acceptance_rate
36,speed_cv,61329,0.03067193794495165,11106,0.03068252455347893,6614,0.030063636363636365,117647,0.03013918175606904,0.10784457597547653
36,acceleration_rms,61329,0.03067193794495165,11106,0.03068252455347893,6614,0.030063636363636365,81437,0.030570821508476356,0.10784457597547653
37,crawl,63079,0.0315471501839196,11410,0.031522384760957554,6897,0.03135,182413,0.03158376806977022,0.10933908273751962
37,stop,63079,0.0315471501839196,11410,0.031522384760957554,6897,0.03135,182413,0.03158376806977022,0.10933908273751962
37,speed_cv,63079,0.0315471501839196,11410,0.031522384760957554,6897,0.03135,125337,0.0321092303565788,0.10933908273751962
37,acceleration_rms,63079,0.0315471501839196,11410,0.031522384760957554,6897,0.03135,86220,0.03236632280733366,0.10933908273751962
38,crawl,64334,0.032174802389579475,11759,0.032486566380727416,7080,0.03218181818181818,195603,0.03386754116072464,0.11005067305002021
38,stop,64334,0.032174802389579475,11759,0.032486566380727416,7080,0.03218181818181818,195603,0.03386754116072464,0.11005067305002021
38,speed_cv,64334,0.032174802389579475,11759,0.032486566380727416,7080,0.03218181818181818,134085,0.03435032075414178,0.11005067305002021
38,acceleration_rms,64334,0.032174802389579475,11759,0.032486566380727416,7080,0.03218181818181818,92532,0.0347357989098608,0.11005067305002021
39,crawl,62886,0.03145062677699342,11490,0.03174340060503087,7050,0.032045454545454544,191915,0.03322898504552829,0.11210762331838565
39,stop,62886,0.03145062677699342,11490,0.03174340060503087,7050,0.032045454545454544,191915,0.03322898504552829,0.11210762331838565
39,speed_cv,62886,0.03145062677699342,11490,0.03174340060503087,7050,0.032045454545454544,130633,0.03346597644088304,0.11210762331838565
39,acceleration_rms,62886,0.03145062677699342,11490,0.03174340060503087,7050,0.032045454545454544,89774,0.03370046698800246,0.11210762331838565
40,crawl,58582,0.029298104790411676,10686,0.029522191372093987,6522,0.029645454545454544,175964,0.03046716058959091,0.11133112560172066
40,stop,58582,0.029298104790411676,10686,0.029522191372093987,6522,0.029645454545454544,175964,0.03046716058959091,0.11133112560172066
40,speed_cv,58582,0.029298104790411676,10686,0.029522191372093987,6522,0.029645454545454544,119648,0.03065180428527841,0.11133112560172066
40,acceleration_rms,58582,0.029298104790411676,10686,0.029522191372093987,6522,0.029645454545454544,82271,0.030883898674114448,0.11133112560172066
41,crawl,58702,0.029358119343940905,10651,0.029425496940311907,6486,0.029481818181818182,168927,0.02924874427108854,0.11049027290381928
41,stop,58702,0.029358119343940905,10651,0.029425496940311907,6486,0.029481818181818182,168927,0.02924874427108854,0.11049027290381928
41,speed_cv,58702,0.029358119343940905,10651,0.029425496940311907,6486,0.029481818181818182,113951,0.029192328748593874,0.11049027290381928
41,acceleration_rms,58702,0.029358119343940905,10651,0.029425496940311907,6486,0.029481818181818182,77975,0.029271213418021833,0.11049027290381928
42,crawl,61412,0.030713448011142702,11383,0.0314477919135828,6906,0.031390909090909094,184779,0.03199342744302255,0.11245359213183091
42,stop,61412,0.030713448011142702,11383,0.0314477919135828,6906,0.031390909090909094,184779,0.03199342744302255,0.11245359213183091
42,speed_cv,61412,0.030713448011142702,11383,0.0314477919135828,6906,0.031390909090909094,124954,0.032011112201312836,0.11245359213183091
42,acceleration_rms,61412,0.030713448011142702,11383,0.0314477919135828,6906,0.031390909090909094,85026,0.03191810441911798,0.11245359213183091
43,crawl,60137,0.030075793379894626,11181,0.030889726907297667,6834,0.031063636363636363,183491,0.031770417606695835,0.1136405208108153
43,stop,60137,0.030075793379894626,11181,0.030889726907297667,6834,0.031063636363636363,183491,0.031770417606695835,0.1136405208108153
43,speed_cv,60137,0.030075793379894626,11181,0.030889726907297667,6834,0.031063636363636363,122681,0.03142880784904253,0.1136405208108153
43,acceleration_rms,60137,0.030075793379894626,11181,0.030889726907297667,6834,0.031063636363636363,82897,0.03111889424448549,0.1136405208108153
44,crawl,55757,0.0278852621760777,10020,0.02768223447018358,6002,0.02728181818181818,161690,0.0279956990960137,0.10764567677601018
44,stop,55757,0.0278852621760777,10020,0.02768223447018358,6002,0.02728181818181818,161690,0.0279956990960137,0.10764567677601018
44,speed_cv,55757,0.0278852621760777,10020,0.02768223447018358,6002,0.02728181818181818,107462,0.027529956138878948,0.10764567677601018
